name,degree,role,advisor,description,image,linkedin,twitter,scholar,github,category
Jacob Luber,Ph.D. in Computer Science.,PHD,Dr. XYZ,Expert in AI and machine learning.,some.jpg,https://linkedin.com/in/alicejohnson,https://twitter.com/alicejohnson,https://scholar.google.com/alicejohnson,https://github.com/alicejohnson,Lead
Biraaj Rout,Ph.D. in Computer Science. , PHD Candidate,Dr. Jacob Luber,Expert in AI and machine learning.,biraaj.jpg,https://linkedin.com/in/alicejohnson,https://twitter.com/alicejohnson,https://scholar.google.com/alicejohnson,https://github.com/alicejohnson,Post Doc
Jai Prakash Veerla,Ph.D in Computer Science. , Developer,Dr. Jacob Luber,"lorem ipsum",jai.jpg,https://linkedin.com/in/bobsmith,https://twitter.com/bobsmith,https://scholar.google.com/bobsmith,https://github.com/bobsmith,Post Doc
Carol White,B.Sc. in Graphic Design,Designer,Dr. Williams,Creative designer with a focus on UX/UI.,/images/carol.png,https://linkedin.com/in/carolwhite,https://twitter.com/carolwhite,https://scholar.google.com/carolwhite,https://github.com/carolwhite,Post Doc
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,Working on quantum computing.,/images/dave.png,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,Working on quantum computing.,/images/dave.png,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,Working on quantum computing.,/images/dave.png,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,Working on quantum computing.,/images/dave.png,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,Working on quantum computing.,/images/dave.png,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,Working on quantum computing.,/images/dave.png,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,Focuses on data analysis and algorithms.,/images/eva.png,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters
